Имя: Валентин Белов Борисович, Дата Рождения: 1996-05-30, Место рождения Ставрополь, Номер паспорта: 4203049
Имя: Болеслав Денисов Леонидович, Дата Рождения: 1998-08-31, Место рождения Темрюк, Номер паспорта: 4604015
Имя: Филипп Кириленко Васильевич, Дата Рождения: 1996-01-24, Место рождения Сарапул, Номер паспорта: 2605030
Имя: Август Белов Романович, Дата Рождения: 1991-12-19, Место рождения Кзыл-Орда, Номер паспорта: 4408066
Имя: Глеб Карпов Алексеевич, Дата Рождения: 1995-06-06, Место рождения Мурманск, Номер паспорта: 9105045
Имя: Ленар Забужко Александрович, Дата Рождения: 1990-03-13, Место рождения Тверь, Номер паспорта: 0600056
Имя: Корнелий Легойда Петрович, Дата Рождения: 1989-10-04, Место рождения Тында, Номер паспорта: 2605030
Имя: Станислав Горшков Васильевич, Дата Рождения: 1978-05-26, Место рождения Шахты, Номер паспорта: 6402031
Имя: Денис Горбунов Борисович, Дата Рождения: 1989-08-25, Место рождения Астана, Номер паспорта: 5902028
Имя: Лука Моисеенко Максимович, Дата Рождения: 1995-06-06, Место рождения Лесосибирск, Номер паспорта: 8505054
Имя: Чеслав Костин Артёмович, Дата Рождения: 1998-08-31, Место рождения Кокчетав, Номер паспорта: 9508060
Имя: Оскар Коцюбинский Артёмович, Дата Рождения: 1983-05-28, Место рождения Жлобин, Номер паспорта: 8504047
Имя: Феликс Гришин Львович, Дата Рождения: 1979-10-22, Место рождения Октябрьский, Номер паспорта: 0600056
Имя: Харитон Лихачёв Евгеньевич, Дата Рождения: 1988-09-26, Место рождения Пермь, Номер паспорта: 4408066
Имя: Филипп Лаврентьев Платонович, Дата Рождения: 1986-07-29, Место рождения Малая Вишера, Номер паспорта: 2010011
Имя: Ленар Котов Артёмович, Дата Рождения: 1989-12-08, Место рождения Усинск, Номер паспорта: 6310002
Имя: Йоган Карпенко-Карый Викторович, Дата Рождения: 1996-05-30, Место рождения Тотьма, Номер паспорта: 0600056
Имя: Динар Лихачёв Виталиевич, Дата Рождения: 1976-09-11, Место рождения Уфа, Номер паспорта: 3307009
Имя: Матвей Королёв Леонидович, Дата Рождения: 1988-09-26, Место рождения Чебоксары, Номер паспорта: 7008041
Имя: Динар Котов Владимирович, Дата Рождения: 1995-03-03, Место рождения Джезказган, Номер паспорта: 4305015
Имя: Станислав Тимошенко Платонович, Дата Рождения: 1993-06-01, Место рождения Уссурийск, Номер паспорта: 4702003
Имя: Филипп Толочко Анатолиевич, Дата Рождения: 1996-01-24, Место рождения Ухта, Номер паспорта: 0703035
Имя: Цефас Королёв Григорьевич, Дата Рождения: 1975-01-10, Место рождения Псков, Номер паспорта: 8505054
Имя: Иосиф Новиков Данилович, Дата Рождения: 1980-05-01, Место рождения Оренбург, Номер паспорта: 4408066
Имя: Жерар Беляев Сергеевич, Дата Рождения: 1983-06-04, Место рождения Родники, Номер паспорта: 5900029
Имя: Святослав Забужко Михайлович, Дата Рождения: 1996-05-30, Место рождения Старый Оскол, Номер паспорта: 9105045
Имя: Чеслав Легойда Юхимович, Дата Рождения: 1996-07-10, Место рождения Омск, Номер паспорта: 2605030
Имя: Оскар Горобчук Леонидович, Дата Рождения: 1982-12-22, Место рождения Чистополь, Номер паспорта: 1401067
Имя: Болеслав Мирный Петрович, Дата Рождения: 1977-02-02, Место рождения Уфа, Номер паспорта: 9105045
Имя: Родион Лапин Петрович, Дата Рождения: 1982-12-22, Место рождения Сухиничи, Номер паспорта: 1506060
Имя: Валентин Андреев Евгеньевич, Дата Рождения: 1987-07-23, Место рождения Муром, Номер паспорта: 4408066
Имя: Матвей Симоненко Юхимович, Дата Рождения: 1991-07-20, Место рождения Славгород, Номер паспорта: 8505054
Имя: Николай Буров Александрович, Дата Рождения: 1989-08-25, Место рождения Назарово, Номер паспорта: 4309066
Имя: Эрик Абрамов Максимович, Дата Рождения: 1992-01-20, Место рождения Пинск, Номер паспорта: 6310002
Имя: Эдуард Андреев Брониславович, Дата Рождения: 1989-08-31, Место рождения Прокопьевск, Номер паспорта: 9005020
Имя: Иннокентий Притула Анатолиевич, Дата Рождения: 1978-05-18, Место рождения Майкоп, Номер паспорта: 3607053
Имя: Родион Легойда Михайлович, Дата Рождения: 1980-11-11, Место рождения Сызрань, Номер паспорта: 6402031
Имя: Ленар Котовский Богданович, Дата Рождения: 1988-08-26, Место рождения Орша, Номер паспорта: 9005020
Имя: Цицерон Трясило Леонидович, Дата Рождения: 1975-01-10, Место рождения Липецк, Номер паспорта: 4305015
Имя: Эдуард Потапов Андреевич, Дата Рождения: 1975-01-10, Место рождения Стерлитамак, Номер паспорта: 7008041
Имя: Жерар Гребневский Брониславович, Дата Рождения: 1998-09-21, Место рождения Сарыагач, Номер паспорта: 9105045
Имя: Юлиан Легойда Богданович, Дата Рождения: 1997-06-04, Место рождения Кустанай, Номер паспорта: 9311044
Имя: Иннокентий Моисеев Виталиевич, Дата Рождения: 1990-11-10, Место рождения Орск, Номер паспорта: 7008041
Имя: Цефас Пилипейко Андреевич, Дата Рождения: 1992-03-07, Место рождения Актюбинск, Номер паспорта: 3607053
Имя: Ленар Саксаганский Максимович, Дата Рождения: 1987-10-03, Место рождения Радужный, Номер паспорта: 3307009
Имя: Феликс Киселёв Леонидович, Дата Рождения: 1996-07-10, Место рождения Орск, Номер паспорта: 0703035
Имя: Устин Потапов Андреевич, Дата Рождения: 1979-06-21, Место рождения Джезказган, Номер паспорта: 6310002
Имя: Денис Новиков Борисович, Дата Рождения: 1997-09-17, Место рождения Петрозаводск, Номер паспорта: 3307009
Имя: Геннадий Яковенко Платонович, Дата Рождения: 1997-12-30, Место рождения Тобольск, Номер паспорта: 9105045
Имя: Юлиан Коровяк Борисович, Дата Рождения: 1992-03-07, Место рождения Лисаковск, Номер паспорта: 5606049
Имя: Ленар Мирный Борисович, Дата Рождения: 1980-11-11, Место рождения Мценск, Номер паспорта: 6402031
Имя: Дан Зиновьев Васильевич, Дата Рождения: 1992-03-07, Место рождения Рудный, Номер паспорта: 5900029
Имя: Станислав Карпов Петрович, Дата Рождения: 1981-01-30, Место рождения Гурьев, Номер паспорта: 7008041
Имя: Шерлок Буров Данилович, Дата Рождения: 1997-11-12, Место рождения Сочи, Номер паспорта: 6402031
Имя: Николай Мухин Михайлович, Дата Рождения: 1980-06-14, Место рождения Можайск, Номер паспорта: 8505054
Имя: Жигер Карпенко-Карый Иванович, Дата Рождения: 1980-03-01, Место рождения Москва, Номер паспорта: 7008041
Имя: Жигер Притула Юхимович, Дата Рождения: 1975-01-10, Место рождения Можга, Номер паспорта: 2811056
Имя: Евстахий Денисов Михайлович, Дата Рождения: 1996-01-24, Место рождения Тобольск, Номер паспорта: 5606049
Имя: Геннадий Андреев Артёмович, Дата Рождения: 1997-09-17, Место рождения Мичуринск, Номер паспорта: 4309066
Имя: Ленар Савельев Данилович, Дата Рождения: 1998-08-31, Место рождения Чита, Номер паспорта: 3307009
Имя: Прохор Жуков Александрович, Дата Рождения: 1987-12-11, Место рождения Уссурийск, Номер паспорта: 9005020
Имя: Жигер Королёв Брониславович, Дата Рождения: 1978-05-26, Место рождения Шемордан, Номер паспорта: 4702003
Имя: Жерар Волков Ярославович, Дата Рождения: 1983-05-11, Место рождения Брест, Номер паспорта: 1401067
Имя: Харитон Фокин Артёмович, Дата Рождения: 1991-10-09, Место рождения Покачи, Номер паспорта: 7008041
Имя: Ефрем Галкин Эдуардович, Дата Рождения: 1980-05-01, Место рождения Михайловка, Номер паспорта: 0703035
Имя: Трофим Семёнов Платонович, Дата Рождения: 1991-07-20, Место рождения Ставрополь, Номер паспорта: 7008041
Имя: Юлиан Колобов Анатолиевич, Дата Рождения: 1982-04-05, Место рождения Родники, Номер паспорта: 6801038
Имя: Роман Саксаганский Валериевич, Дата Рождения: 1998-08-31, Место рождения Ливны, Номер паспорта: 3607053
Имя: Юлий Савельев Брониславович, Дата Рождения: 1998-08-31, Место рождения Уни, Номер паспорта: 1506060
Имя: Цефас Галкин Васильевич, Дата Рождения: 1984-08-14, Место рождения Сметаничи, Номер паспорта: 5900029
Имя: Трофим Зайцев Романович, Дата Рождения: 1997-09-17, Место рождения Шадринск, Номер паспорта: 0703035
Имя: Станислав Буров Романович, Дата Рождения: 1995-06-17, Место рождения Мирный, Номер паспорта: 0600056
Имя: Яромир Нестеров Ярославович, Дата Рождения: 1992-01-20, Место рождения Черногорск, Номер паспорта: 4604015
Имя: Жерар Блинов Евгеньевич, Дата Рождения: 1989-08-31, Место рождения Усть-Мая, Номер паспорта: 5606049
Имя: Марк Потапов Сергеевич, Дата Рождения: 1987-10-03, Место рождения Славгород, Номер паспорта: 1506060
Имя: Феликс Кошелев Платонович, Дата Рождения: 1980-03-01, Место рождения Сметаничи, Номер паспорта: 2605030
Имя: Ждан Тихонов Брониславович, Дата Рождения: 1997-11-12, Место рождения Тотьма, Номер паспорта: 3404067
Имя: Станислав Трясило Артёмович, Дата Рождения: 1988-12-30, Место рождения Нальчик, Номер паспорта: 1204011
Имя: Иосиф Горшков Максимович, Дата Рождения: 1996-01-24, Место рождения Гродно, Номер паспорта: 2105065
Имя: Сергей Кузнецов Петрович, Дата Рождения: 1992-01-20, Место рождения Сыктывкар, Номер паспорта: 4305015
Имя: Иосиф Панфилов Вадимович, Дата Рождения: 1978-05-18, Место рождения Тында, Номер паспорта: 0600056
Имя: Глеб Таранец Сергеевич, Дата Рождения: 1983-05-11, Место рождения Нальчик, Номер паспорта: 3607053
Имя: Марк Колобов Львович, Дата Рождения: 1995-03-03, Место рождения Кустанай, Номер паспорта: 6801038
Имя: Леонард Соколов Платонович, Дата Рождения: 1988-08-26, Место рождения Приозерск, Номер паспорта: 5606049
Имя: Тимур Ерёменко Васильевич, Дата Рождения: 1976-09-11, Место рождения Темрюк, Номер паспорта: 5900029
Имя: Шарль Галкин Михайлович, Дата Рождения: 1980-11-11, Место рождения Снежинск, Номер паспорта: 4401058
Имя: Динар Абрамов Артёмович, Дата Рождения: 1989-12-08, Место рождения Приозерск, Номер паспорта: 5902028
Имя: Яромир Трясило Григорьевич, Дата Рождения: 1975-01-10, Место рождения Мичуринск, Номер паспорта: 3607053
Имя: Стефан Субботин Евгеньевич, Дата Рождения: 1991-07-20, Место рождения Аркалык, Номер паспорта: 9105045
Имя: Матвей Андреев Львович, Дата Рождения: 1988-09-26, Место рождения Джамбул, Номер паспорта: 3307009
Имя: Глеб Гришин Петрович, Дата Рождения: 1983-06-04, Место рождения Атбасар, Номер паспорта: 2105065
Имя: Николай Галкин Петрович, Дата Рождения: 1983-05-11, Место рождения Усть-Мая, Номер паспорта: 0703035
Имя: Денис Козлов Брониславович, Дата Рождения: 1987-10-03, Место рождения Тбилисская, Номер паспорта: 3607053
Имя: Пётр Моисеев Владимирович, Дата Рождения: 1982-07-24, Место рождения Майкоп, Номер паспорта: 7008041
Имя: Святослав Самойлов Дмитриевич, Дата Рождения: 1997-12-30, Место рождения Гурьев, Номер паспорта: 9005020
Имя: Леонид Андреев Анатолиевич, Дата Рождения: 1986-12-19, Место рождения Ханты-Мансийск, Номер паспорта: 1506060
Имя: Гавриил Буров Михайлович, Дата Рождения: 1991-12-19, Место рождения Холмск, Номер паспорта: 6801038
Имя: Пётр Повалий Владимирович, Дата Рождения: 1979-10-22, Место рождения Чита, Номер паспорта: 3404067
Имя: Вадим Горбунов Васильевич, Дата Рождения: 1990-03-13, Место рождения Пенза, Номер паспорта: 3607053
Имя: Лукьян Колобов Алексеевич, Дата Рождения: 1981-01-08, Место рождения Брагин, Номер паспорта: 1401067
Имя: Цефас Лапин Романович, Дата Рождения: 1991-10-09, Место рождения Сургут, Номер паспорта: 4702003
Имя: Харитон Сысоев Максимович, Дата Рождения: 1976-12-03, Место рождения Шемордан, Номер паспорта: 5900029
Имя: Николай Андреев Юхимович, Дата Рождения: 1987-07-23, Место рождения Зыряновск, Номер паспорта: 2605030
Имя: Роман Гаврилов Данилович, Дата Рождения: 1991-12-19, Место рождения Шатура, Номер паспорта: 9311044
Имя: Роман Фокин Платонович, Дата Рождения: 1995-05-13, Место рождения Витебск, Номер паспорта: 3307009
Имя: Спартак Королёв Юхимович, Дата Рождения: 1990-11-10, Место рождения Луга, Номер паспорта: 4702003
Имя: Гавриил Денисов Борисович, Дата Рождения: 1988-12-30, Место рождения Чебоксары, Номер паспорта: 9005020
Имя: Сергей Савельев Григорьевич, Дата Рождения: 1981-06-04, Место рождения Мценск, Номер паспорта: 4604015
Имя: Болеслав Силин Данилович, Дата Рождения: 1985-12-21, Место рождения Ухта, Номер паспорта: 3404067
Имя: Прохор Козлов Юхимович, Дата Рождения: 1983-06-04, Место рождения Советская Гавань, Номер паспорта: 4203049
Имя: Йоган Гаврилов Леонидович, Дата Рождения: 1992-01-20, Место рождения Магнитогорск, Номер паспорта: 2605030
Имя: Денис Горбачёв Владимирович, Дата Рождения: 1984-10-29, Место рождения Снежинск, Номер паспорта: 5902028
Имя: Николай Козлов Платонович, Дата Рождения: 1984-08-14, Место рождения Саратов, Номер паспорта: 5900029
Имя: Вадим Субботин Васильевич, Дата Рождения: 1980-06-14, Место рождения Лянтор, Номер паспорта: 0909067
Имя: Евстахий Гребневский Платонович, Дата Рождения: 1990-03-13, Место рождения Шарыпово, Номер паспорта: 0909067
Имя: Алексей Смирнов Леонидович, Дата Рождения: 1997-11-12, Место рождения Лысьва, Номер паспорта: 5900029
Имя: Болеслав Фокин Михайлович, Дата Рождения: 1983-05-28, Место рождения Туринск, Номер паспорта: 3607053
Имя: Сава Петров Брониславович, Дата Рождения: 1989-10-04, Место рождения Магнитогорск, Номер паспорта: 5606049
Имя: Игнат Яворивский Борисович, Дата Рождения: 1992-01-20, Место рождения Муром, Номер паспорта: 4305015
Имя: Цицерон Лаврентьев Борисович, Дата Рождения: 1996-05-30, Место рождения Семипалатинск, Номер паспорта: 4305015
Имя: Ждан Симоненко Платонович, Дата Рождения: 1985-06-08, Место рождения Удачный, Номер паспорта: 8504047
Имя: Цицерон Семёнов Сергеевич, Дата Рождения: 1996-01-24, Место рождения Тулун, Номер паспорта: 5907067
Имя: Роман Мухин Михайлович, Дата Рождения: 1982-07-24, Место рождения Мегион, Номер паспорта: 6801038
Имя: Тимофей Денисов Владимирович, Дата Рождения: 1981-06-04, Место рождения Пангоды, Номер паспорта: 6310002
Имя: Родион Семёнов Михайлович, Дата Рождения: 1982-07-24, Место рождения Аркалык, Номер паспорта: 8504047
Имя: Филипп Горшков Дмитриевич, Дата Рождения: 1980-03-01, Место рождения Тобольск, Номер паспорта: 5902028
Имя: Евстахий Саксаганский Васильевич, Дата Рождения: 1997-06-04, Место рождения Чистополь, Номер паспорта: 6402031
Имя: Чеслав Максимов Леонидович, Дата Рождения: 1993-05-05, Место рождения Чита, Номер паспорта: 4408066
Имя: Динар Савельев Дмитриевич, Дата Рождения: 1997-12-30, Место рождения Салават, Номер паспорта: 9005020
Имя: Геннадий Кулибаба Владимирович, Дата Рождения: 1982-12-22, Место рождения Зыряновск, Номер паспорта: 5900029
Имя: Леонид Беляков Брониславович, Дата Рождения: 1983-06-04, Место рождения Кокчетав, Номер паспорта: 2105065
Имя: Иннокентий Кошелев Артёмович, Дата Рождения: 1990-03-13, Место рождения Шадринск, Номер паспорта: 4203049
Имя: Корнелий Мирный Петрович, Дата Рождения: 1989-08-31, Место рождения Павлодар, Номер паспорта: 4309066
Имя: Руслан Кошелев Борисович, Дата Рождения: 1978-05-18, Место рождения Риддер, Номер паспорта: 2105065
Имя: Валентин Соколов Борисович, Дата Рождения: 1997-12-30, Место рождения Усть-Мая, Номер паспорта: 8505054
Имя: Ленар Мирный Фёдорович, Дата Рождения: 1995-06-17, Место рождения Черногорск, Номер паспорта: 5902028
Имя: Гавриил Попов Иванович, Дата Рождения: 1978-05-26, Место рождения Темрюк, Номер паспорта: 2010011
Имя: Цефас Виноградов Васильевич, Дата Рождения: 1988-09-26, Место рождения Усолье-Сибирское, Номер паспорта: 5606049
Имя: Филипп Забужко Андреевич, Дата Рождения: 1997-09-17, Место рождения Переславль-Залесский, Номер паспорта: 8505054
Имя: Стефан Гришин Валериевич, Дата Рождения: 1987-10-03, Место рождения Усинск, Номер паспорта: 2402014
Имя: Прохор Игнатов Леонидович, Дата Рождения: 1975-11-12, Место рождения Шатура, Номер паспорта: 6801038
Имя: Денис Лаврентьев Васильевич, Дата Рождения: 1990-03-13, Место рождения Людиново, Номер паспорта: 9311044
Имя: Иосиф Савельев Виталиевич, Дата Рождения: 1984-02-21, Место рождения Оренбург, Номер паспорта: 3607053
Имя: Святослав Рымар Львович, Дата Рождения: 1975-01-10, Место рождения Балхаш, Номер паспорта: 4203049
Имя: Чеслав Мирный Романович, Дата Рождения: 1980-11-11, Место рождения Джезказган, Номер паспорта: 6402031
Имя: Харитон Романов Брониславович, Дата Рождения: 1984-02-21, Место рождения Мирный, Номер паспорта: 9005020
Имя: Юлиан Котовский Петрович, Дата Рождения: 1982-04-05, Место рождения Рудный, Номер паспорта: 0909067
Имя: Роман Нестеров Петрович, Дата Рождения: 1989-08-25, Место рождения Черногорск, Номер паспорта: 4305015
Имя: Никита Гребневский Платонович, Дата Рождения: 1995-08-08, Место рождения Петропавловск, Номер паспорта: 8505054
Имя: Вадим Блинов Алексеевич, Дата Рождения: 1983-06-13, Место рождения Астана, Номер паспорта: 6801038
Имя: Иннокентий Петров Валериевич, Дата Рождения: 1995-03-03, Место рождения Гомель, Номер паспорта: 4604015
Имя: Трофим Горбунов Викторович, Дата Рождения: 1997-11-12, Место рождения Осиповичи, Номер паспорта: 1506060
Имя: Прохор Нестеров Леонидович, Дата Рождения: 1985-12-21, Место рождения Омутнинск, Номер паспорта: 6402031
Имя: Пётр Гаврилов Васильевич, Дата Рождения: 1976-12-03, Место рождения Череповец, Номер паспорта: 1506060
Имя: Вениамин Андреев Сергеевич, Дата Рождения: 1998-09-21, Место рождения Первоуральск, Номер паспорта: 9005020
Имя: Глеб Таранец Романович, Дата Рождения: 1988-09-26, Место рождения Мядель, Номер паспорта: 3307009
Имя: Юлиан Беляев Борисович, Дата Рождения: 1993-06-01, Место рождения Липецк, Номер паспорта: 2402014
Имя: Феликс Галкин Платонович, Дата Рождения: 1989-01-02, Место рождения Славгород, Номер паспорта: 2105065
Имя: Ленар Лапин Брониславович, Дата Рождения: 1980-01-12, Место рождения Лянтор, Номер паспорта: 1401067
Имя: Сава Котов Борисович, Дата Рождения: 1976-12-03, Место рождения Михайловка, Номер паспорта: 9105045
Имя: Святослав Галкин Викторович, Дата Рождения: 1979-10-22, Место рождения Шарья, Номер паспорта: 9005020
Имя: Цицерон Рымар Юхимович, Дата Рождения: 1981-01-08, Место рождения Муром, Номер паспорта: 2402014
Имя: Станислав Андреев Эдуардович, Дата Рождения: 1981-02-03, Место рождения Ростов-на-Дону, Номер паспорта: 5902028
Имя: Цицерон Козлов Викторович, Дата Рождения: 1977-10-25, Место рождения Сарыагач, Номер паспорта: 2811056
Имя: Николай Игнатов Богданович, Дата Рождения: 1995-05-13, Место рождения Мстиславль, Номер паспорта: 1401067
Имя: Назар Коровяк Васильевич, Дата Рождения: 1986-07-29, Место рождения Пермь, Номер паспорта: 0703035
Имя: Матвей Потапов Борисович, Дата Рождения: 1983-05-28, Место рождения Приозерск, Номер паспорта: 0600056
Имя: Денис Саксаганский Виталиевич, Дата Рождения: 1986-07-29, Место рождения Нальчик, Номер паспорта: 4203049
Имя: Лукьян Горбунов Алексеевич, Дата Рождения: 1983-06-13, Место рождения Ставрополь, Номер паспорта: 4401058
Имя: Филипп Горшков Алексеевич, Дата Рождения: 1984-10-29, Место рождения Саров, Номер паспорта: 7008041
Имя: Милан Соколов Валериевич, Дата Рождения: 1981-01-30, Место рождения Приозерск, Номер паспорта: 1506060
Имя: Марк Буров Платонович, Дата Рождения: 1979-10-22, Место рождения Суворов, Номер паспорта: 8505054
Имя: Игнатий Соловьёв Петрович, Дата Рождения: 1996-01-24, Место рождения Сарыагач, Номер паспорта: 5606049
Имя: Ленар Костин Сергеевич, Дата Рождения: 1992-01-20, Место рождения Чита, Номер паспорта: 4309066
Имя: Феликс Смирнов Богданович, Дата Рождения: 1988-12-30, Место рождения Уссурийск, Номер паспорта: 5900029
Имя: Лука Попов Юхимович, Дата Рождения: 1990-03-13, Место рождения Россошь, Номер паспорта: 2605030
Имя: Марк Повалий Артёмович, Дата Рождения: 1995-08-08, Место рождения Сметаничи, Номер паспорта: 5907067
Имя: Чеслав Борисов Борисович, Дата Рождения: 1985-12-21, Место рождения Моршанск, Номер паспорта: 2010011
Имя: Харитон Красинец Богданович, Дата Рождения: 1996-11-13, Место рождения Малая Вишера, Номер паспорта: 4309066
Имя: Валентин Беляев Вадимович, Дата Рождения: 1986-12-24, Место рождения Тюмень, Номер паспорта: 5902028
Имя: Филипп Соколов Борисович, Дата Рождения: 1996-01-24, Место рождения Пятигорск, Номер паспорта: 4401058
Имя: Шарль Потапов Михайлович, Дата Рождения: 1975-01-10, Место рождения Минусинск, Номер паспорта: 6310002
Имя: Алексей Саксаганский Валериевич, Дата Рождения: 1978-05-18, Место рождения Переславль-Залесский, Номер паспорта: 4309066
Имя: Филипп Андреев Михайлович, Дата Рождения: 1995-05-13, Место рождения Тула, Номер паспорта: 2605030
Имя: Жигер Кулибаба Михайлович, Дата Рождения: 1986-07-29, Место рождения Джамбул, Номер паспорта: 2605030
Имя: Юлиан Коцюбинский Брониславович, Дата Рождения: 1995-06-17, Место рождения Чернушка, Номер паспорта: 6801038
Имя: Харитон Коцюбинский Брониславович, Дата Рождения: 1983-06-13, Место рождения Кустанай, Номер паспорта: 9105045
Имя: Святослав Таранец Платонович, Дата Рождения: 1989-12-08, Место рождения Сметаничи, Номер паспорта: 4305015
Имя: Вениамин Хижняк Брониславович, Дата Рождения: 1981-02-03, Место рождения Рубцовск, Номер паспорта: 2105065
Имя: Назар Буров Андреевич, Дата Рождения: 1977-02-02, Место рождения Россошь, Номер паспорта: 3607053
Имя: Болеслав Новиков Викторович, Дата Рождения: 1989-10-04, Место рождения Муравленко, Номер паспорта: 5900029
Имя: Август Лаврентьев Леонидович, Дата Рождения: 1981-02-03, Место рождения Саяногорск, Номер паспорта: 1401067
Имя: Леонид Королёв Максимович, Дата Рождения: 1998-08-31, Место рождения Михайловка, Номер паспорта: 9105045
Имя: Герасим Ерёменко Романович, Дата Рождения: 1980-01-12, Место рождения Талдом, Номер паспорта: 5902028
Имя: Михаил Горшков Брониславович, Дата Рождения: 1981-02-03, Место рождения Тверь, Номер паспорта: 8504047
Имя: Дан Меркушев Романович, Дата Рождения: 1987-07-23, Место рождения Трёхгорный, Номер паспорта: 2010011
Имя: Родион Костин Васильевич, Дата Рождения: 1990-03-13, Место рождения Ступино, Номер паспорта: 0600056
Имя: Михаил Соколов Платонович, Дата Рождения: 1986-12-19, Место рождения Магадан, Номер паспорта: 5902028
Имя: Динар Белов Платонович, Дата Рождения: 1995-03-03, Место рождения Славгород, Номер паспорта: 2402014
Имя: Харитон Тихонов Максимович, Дата Рождения: 1980-01-12, Место рождения Петрозаводск, Номер паспорта: 4309066
Имя: Сава Яворивский Алексеевич, Дата Рождения: 1980-03-01, Место рождения Чистополь, Номер паспорта: 0600056
Имя: Глеб Мухин Борисович, Дата Рождения: 1980-03-01, Место рождения Салават, Номер паспорта: 8505054
Имя: Гавриил Андреев Брониславович, Дата Рождения: 1982-12-22, Место рождения Сатка, Номер паспорта: 9105045
Имя: Валентин Карпенко-Карый Александрович, Дата Рождения: 1982-12-22, Место рождения Тверь, Номер паспорта: 8505054
Имя: Харитон Савельев Максимович, Дата Рождения: 1986-12-19, Место рождения Туринск, Номер паспорта: 1204011
Имя: Ленар Зайцев Владимирович, Дата Рождения: 1993-06-01, Место рождения Слоним, Номер паспорта: 4203049
Имя: Харитон Романов Владимирович, Дата Рождения: 1981-01-08, Место рождения Удачный, Номер паспорта: 2605030
Имя: Денис Лановой Артёмович, Дата Рождения: 1991-02-08, Место рождения Зыряновск, Номер паспорта: 9005020
Имя: Филипп Кулибаба Борисович, Дата Рождения: 1989-08-31, Место рождения Мирный, Номер паспорта: 6801038
Имя: Герасим Мухин Анатолиевич, Дата Рождения: 1991-10-09, Место рождения Атбасар, Номер паспорта: 4604015
Имя: Цефас Волков Брониславович, Дата Рождения: 1995-06-06, Место рождения Можайск, Номер паспорта: 4305015
Имя: Евстахий Притула Брониславович, Дата Рождения: 1996-01-24, Место рождения Сургут, Номер паспорта: 4408066
Имя: Харитон Савельев Артёмович, Дата Рождения: 1995-05-13, Место рождения Сатка, Номер паспорта: 1401067
Имя: Святослав Белов Платонович, Дата Рождения: 1995-06-17, Место рождения Уфа, Номер паспорта: 0703035
Имя: Роман Коцюбинский Данилович, Дата Рождения: 1989-08-31, Место рождения Рыбинск, Номер паспорта: 2010011
Имя: Филипп Хижняк Сергеевич, Дата Рождения: 1983-05-28, Место рождения Петрозаводск, Номер паспорта: 7008041
Имя: Гавриил Гаврилов Романович, Дата Рождения: 1991-02-08, Место рождения Лисаковск, Номер паспорта: 1401067
Имя: Жигер Лихачёв Сергеевич, Дата Рождения: 1984-08-14, Место рождения Муром, Номер паспорта: 5606049
Имя: Филипп Семёнов Сергеевич, Дата Рождения: 1996-07-10, Место рождения Черкесск, Номер паспорта: 9105045
Имя: Святослав Яковенко Михайлович, Дата Рождения: 1996-11-13, Место рождения Мичуринск, Номер паспорта: 0909067
Имя: Родион Соловьёв Виталиевич, Дата Рождения: 1989-08-25, Место рождения Кзыл-Орда, Номер паспорта: 9508060
Имя: Прохор Пасичник Борисович, Дата Рождения: 1984-08-14, Место рождения Тверь, Номер паспорта: 2010011
Имя: Динар Брагин Борисович, Дата Рождения: 1988-09-26, Место рождения Раменское, Номер паспорта: 4305015
Имя: Устин Нестеров Сергеевич, Дата Рождения: 1982-07-24, Место рождения Челябинск, Номер паспорта: 1204011
Имя: Цефас Новиков Михайлович, Дата Рождения: 1980-01-12, Место рождения Сметаничи, Номер паспорта: 0703035
Имя: Игнат Кулибаба Артёмович, Дата Рождения: 1986-12-19, Место рождения Орск, Номер паспорта: 9508060
Имя: Болеслав Савельев Васильевич, Дата Рождения: 1989-08-25, Место рождения Пангоды, Номер паспорта: 9005020
Имя: Стефан Саксаганский Богданович, Дата Рождения: 1988-08-26, Место рождения Аркалык, Номер паспорта: 1506060
Имя: Цицерон Котовский Васильевич, Дата Рождения: 1985-12-20, Место рождения Ухта, Номер паспорта: 0909067
Имя: Роман Пасичник Платонович, Дата Рождения: 1997-09-17, Место рождения Гомель, Номер паспорта: 9105045
Имя: Жерар Лановой Анатолиевич, Дата Рождения: 1994-03-18, Место рождения Луга, Номер паспорта: 8505054
Имя: Ждан Гребневский Богданович, Дата Рождения: 1983-06-13, Место рождения Суворов, Номер паспорта: 4408066
Имя: Лукьян Хижняк Ярославович, Дата Рождения: 1983-06-04, Место рождения Островной, Номер паспорта: 4702003
Имя: Шерлок Таранец Петрович, Дата Рождения: 1992-01-20, Место рождения Мирный, Номер паспорта: 7008041
Имя: Станислав Пасичник Дмитриевич, Дата Рождения: 1982-04-05, Место рождения Саранск, Номер паспорта: 9508060
Имя: Георгий Притула Брониславович, Дата Рождения: 1997-06-04, Место рождения Ханты-Мансийск, Номер паспорта: 9005020
Имя: Валентин Брагин Брониславович, Дата Рождения: 1995-06-17, Место рождения Тула, Номер паспорта: 1204011
Имя: Филипп Уваров Ярославович, Дата Рождения: 1987-10-03, Место рождения Улан-Удэ, Номер паспорта: 7008041
Имя: Георгий Максимов Юхимович, Дата Рождения: 1998-03-26, Место рождения Омутнинск, Номер паспорта: 4401058
Имя: Денис Таранец Борисович, Дата Рождения: 1982-04-24, Место рождения Смоленск, Номер паспорта: 0909067
